@RELATION scorecard

@ATTRIBUTE LATITUDE REAL
@ATTRIBUTE LONGITUDE REAL

@DATA
34.783367999999996,-86.568502
33.50223,-86.80917
32.362609,-86.17401
34.722818,-86.63842
32.364317,-86.295677
33.2144,-87.545766
32.924428999999996,-85.94653000000001
34.805625,-86.96514
32.369939,-86.177351
32.604684999999996,-85.482782
33.515453,-86.853636
32.42391,-85.031485
32.42443,-87.023531
32.342684000000006,-86.216488
31.297496000000002,-85.836956
30.852045,-87.779758
32.384181,-86.21641
33.991865999999995,-85.991299
34.27871,-86.196931
31.316086,-85.46355
34.073409999999996,-86.781745
32.445611,-87.01324
33.468105,-86.832299
32.350939000000004,-86.285313
34.859089000000004,-87.662062
34.772116,-86.573817
33.822128,-85.766644
31.101995000000002,-87.085829
33.652439,-86.707387
34.65428,-86.94913100000001
32.630526,-87.31612700000001
33.451673,-86.89023399999999
32.59244,-88.186077
31.322946999999996,-86.452262
32.622359,-87.317998
33.481306,-86.90860500000001
30.793246999999997,-88.128934
33.10625,-86.865099
34.739567,-87.67733
34.80658,-87.680999
34.545471,-85.911664
34.756628000000006,-86.66162800000001
31.488925,-87.326352
41.928952,-87.96292199999999
31.46071,-86.964486
30.693972,-88.05698199999999
33.464578,-86.790932
32.420358,-87.033826
33.120531,-87.56148
34.201246999999995,-86.16947900000001
30.695081,-88.18189
30.694751,-88.138199
33.378935,-86.749045
33.199228000000005,-87.58524200000001
33.434258,-86.113675
32.350109,-86.343057
31.800128000000004,-85.950191
32.431021,-85.71031500000001
30.639328999999996,-87.91163
33.835784999999994,-87.265034
61.189554,-149.82613500000002
61.59843000000001,-149.11134099999998
64.856483,-147.82294299999998
58.384269999999994,-134.636346
61.191235,-149.804242
60.110727000000004,-149.444573
61.195786,-149.840178
61.181443,-149.856954
32.235657,-110.92718700000002
33.620886999999996,-112.18086100000001
33.577738000000004,-112.092247
33.442262,-112.175304
33.560821000000004,-112.115546
33.392070000000004,-111.855281
32.224000000000004,-110.98296100000002
35.194607,-111.65738999999999
32.237253,-110.87230500000001
33.537248999999996,-112.157344
33.525384,-112.15007
33.422247,-111.934629
32.689306,-114.49596799999999
32.232071000000005,-110.950769
32.252384,-110.92732099999999
32.957091999999996,-111.652501
32.236736,-110.895086
34.475275,-114.328134
31.365757000000002,-109.690422
35.197151,-111.62593600000001
33.347586,-111.860423
32.21901,-110.85678500000002
33.376583000000004,-111.858305
32.840719,-109.761664
34.615678,-112.452285
33.60715,-111.84647700000001
33.567483,-112.18833400000001
33.512172,-112.12991699999999
33.38145,-111.940071
33.4495,-111.996527
33.391256,-111.871494
32.297261,-110.997501
33.380355,-111.969169
35.270737,-114.030244
33.684428000000004,-112.12133600000001
36.293328,-109.21683999999999
35.180095,-111.657653
34.922221,-110.1316
33.57172,-112.113301
33.481361,-112.088293
33.466553999999995,-111.908433
32.221737,-110.887033
32.250448,-110.921306
35.10488,-106.594381
34.5445,-112.47650900000001
33.448692,-111.98935700000001
33.413138000000004,-111.975201
33.45489,-112.086161
32.835302,-109.727696
33.509489,-111.887298
33.381001,-112.057515
33.595117,-112.026211
32.22205,-110.88318100000001
33.453533,-112.289693
33.403625,-111.96418200000001
33.538092999999996,-112.118168
34.547512,-112.45415600000001
34.726644,-92.341835
34.749718,-92.320945
34.12018,-93.080831
34.734751,-92.290555
34.669071,-92.334814
35.278622,-93.13521999999999
35.778934,-91.62811500000001
34.753621,-92.266336
35.379954999999995,-94.410967
36.06153,-94.178214
34.242191999999996,-92.021263
35.074512,-91.896165
35.842779,-90.68047800000001
35.295227000000004,-93.13233000000001
33.589788,-91.81297099999999
34.8918,-92.102284
34.713115,-92.40692
36.239793,-90.951033
35.078196000000005,-92.45931
35.084573999999996,-92.444102
34.043389000000005,-94.3673
36.066239,-90.58482
35.041908,-90.76780699999999
35.039673,-90.767445
34.751259999999995,-92.341981
34.791306,-92.221304
34.512731,-93.117111
35.79293,-91.616123
35.249604999999995,-91.729008
34.127792,-93.060313
35.09972,-92.442021
34.496287,-93.038381
34.187831,-92.018045
36.191077,-94.559088
34.781993,-92.296729
36.16757,-94.131834
35.380891,-94.416327
35.145736,-90.22285
35.897362,-89.92249100000001
33.629169,-91.7887
34.759076,-92.254108
36.220528,-93.087317
36.178616999999996,-94.116433
34.125045,-93.052442
34.378745,-92.821416
36.053031,-91.896355
35.477785,-93.467924
35.172136,-92.728507
34.73666,-92.28242
34.544976,-90.617745
34.209796999999995,-92.024731
33.215123999999996,-92.663131
34.78243,-92.299729
33.647909999999996,-93.584528
34.590793,-94.2197
36.12681,-94.154191
35.237722999999995,-91.73454
34.75933,-92.26133100000001
36.126825,-90.939876
33.209446,-92.666087
33.291195,-93.235087
33.63037,-92.719498
34.735724,-92.28975799999999
35.385345,-94.374073
37.787748,-122.40068600000001
38.59172,-121.28150600000001
37.806662,-122.272733
33.728895,-117.98766599999999
37.764203,-122.24356599999999
